Year,Month,Day,Scan_start(UTC),Latitude,Longitude,FRP(MW),Confidence
2018,07,31,0348117,-33.033,148.741,22.2786,88
2018,07,31,0349371,-32.0995,152.46,6.81894,41
2018,07,31,0349371,-32.1879,151.867,6.6909,56
2018,07,31,0349371,-32.9904,145.925,52.8558,96
2018,07,31,0349371,-32.9819,145.934,31.12,90
2018,07,31,0349371,-32.9831,145.924,187.856,100
2018,07,31,0349371,-32.9843,145.914,8.77126,69
2018,07,31,0349371,-32.9758,145.922,147.679,100
2018,07,31,0349371,-32.977,145.912,64.1086,98
2018,07,31,0349371,-32.9727,145.925,9.2022,72
2018,07,31,0349371,-32.974,145.915,75.8883,100
2018,07,31,0349371,-31.7342,151.383,3.96864,40
2018,07,31,0349371,-32.3226,147.284,4.37384,49
2018,07,31,0349371,-31.6025,151.183,6.27589,47
2018,07,31,0349371,-31.7874,149.965,8.8133,73
2018,07,31,0349371,-31.7808,149.963,30.9911,92
2018,07,31,0349371,-31.7821,149.955,11.4987,78
2018,07,31,0349371,-31.4918,151.072,5.58011,53
2018,07,31,0349371,-31.7412,149.13,37.7667,94
2018,07,31,0349371,-31.2623,151.859,23.7872,82
2018,07,31,0349371,-31.2538,151.866,20.66,83
2018,07,31,0349371,-30.8745,152.414,11.1963,73
2018,07,31,0349371,-31.5186,147.971,11.7975,81
2018,07,31,0349371,-30.759,151.464,6.2065,41
2018,07,31,0349371,-31.3471,147.707,6.21984,70
2018,07,31,0349371,-30.7521,151.462,42.6396,95
2018,07,31,0349371,-30.7505,151.463,15.3847,81
2018,07,31,0349371,-30.752,151.455,25.2791,88
2018,07,31,0349371,-30.3901,150.773,15.4525,83
2018,07,31,0349371,-30.0297,152.745,7.9405,66
2018,07,31,0349371,-30.0316,152.735,105.607,100
2018,07,31,0349371,-30.0706,152.439,9.19969,69
2018,07,31,0349371,-30.0724,152.43,18.3477,81
2018,07,31,0349371,-29.9599,152.915,13.3656,73
2018,07,31,0349371,-29.9506,152.924,10.1978,54
2018,07,31,0349371,-29.9525,152.914,14.6967,75
2018,07,31,0349371,-29.9511,152.915,7.17963,30
2018,07,31,0349371,-30.4306,150.121,8.97314,76
2018,07,31,0349371,-30.0342,152.371,6.73376,57
2018,07,31,0349371,-30.0926,151.834,5.01442,36
2018,07,31,0349371,-30.0942,151.825,5.41202,37
2018,07,31,0349371,-30.0855,151.832,8.59231,65
2018,07,31,0349371,-29.9088,152.77,7.04527,63
2018,07,31,0349371,-29.8293,152.609,8.10018,68
2018,07,31,0349371,-29.8111,152.666,19.0187,83
2018,07,31,0349371,-29.813,152.656,10.529,67
2018,07,31,0349371,-30.6018,147.835,8.81479,75
2018,07,31,0349371,-30.6149,147.497,9.27127,76
2018,07,31,0349371,-30.6116,147.497,5.95228,70
2018,07,31,0349371,-29.8572,152.06,6.66441,63
2018,07,31,0349371,-29.8534,152.04,8.13081,67
2018,07,31,0349371,-29.6196,152.945,8.18814,69
2018,07,31,0349371,-29.6186,152.947,8.34571,69
2018,07,31,0349371,-30.2124,148.958,8.44191,77
2018,07,31,0349371,-29.3929,152.991,10.5942,72
2018,07,31,0349371,-29.3924,152.994,13.2035,76
2018,07,31,0349371,-29.3834,152.832,15.4768,78
2018,07,31,0349371,-29.8513,150.135,6.35242,67
2018,07,31,0349371,-29.3941,152.524,7.13689,65
2018,07,31,0349371,-29.3142,152.827,8.77759,19
2018,07,31,0349371,-29.5602,150.501,4.69567,60
2018,07,31,0349371,-29.1292,152.903,13.1989,76
2018,07,31,0349371,-29.0453,153.098,11.6975,73
2018,07,31,0349371,-29.0473,153.088,13.0599,76
2018,07,31,0349371,-29.0407,153.089,26.1411,86
2018,07,31,0349371,-29.2871,151.302,9.63758,75
2018,07,31,0349371,-29.3018,150.875,4.9518,66
2018,07,31,0349371,-29.3032,150.867,20.0914,86
2018,07,31,0349371,-29.3196,148.25,5.51865,65
2018,07,31,0349371,-29.2667,148.339,15.0253,82
2018,07,31,0349371,-28.4119,152.537,16.0367,79
2018,07,31,0349371,-28.8645,149.864,51.4647,99
2018,07,31,0349371,-28.8578,149.862,11.8595,80
2018,07,31,0349371,-28.7225,150.63,12.9529,81
2018,07,31,0349371,-28.3044,150.995,25.4517,88
2018,07,31,0349371,-28.3059,150.987,38.0416,93
2018,07,31,0349371,-28.2974,150.994,8.31879,70
2018,07,31,0349371,-28.2989,150.985,8.15871,70
2018,07,31,0349371,-28.7057,148.475,11.0769,79
2018,07,31,0349371,-28.6791,148.47,7.35422,72
2018,07,31,0349371,-28.3636,149.109,9.57622,76
2018,07,31,0349371,-28.3569,149.107,36.7766,95
2018,07,31,0349371,-28.3503,149.106,16.5326,85
2018,07,31,0349371,-28.5161,147.935,7.72087,58
2018,07,31,0349371,-28.5172,147.927,17.2576,85
2018,07,31,0349371,-28.507,147.949,8.5696,70
2018,07,31,0349371,-28.4992,147.956,5.57567,42
2018,07,31,0349371,-28.0316,150.769,8.76731,75
2018,07,31,0349371,-28.0247,150.768,13.1774,80
2018,07,31,0349371,-27.6158,152.885,20.3674,82
2018,07,31,0349371,-27.6177,152.874,23.5178,84
2018,07,31,0349371,-27.6101,152.873,9.64097,70
2018,07,31,0349371,-27.8562,151.36,7.19311,73
2018,07,31,0349371,-27.8492,151.359,15.3658,83
2018,07,31,0349371,-27.9404,149.394,7.71173,75
2018,07,31,0349371,-26.8762,152.513,26.5023,86
2018,07,31,0349371,-26.8667,152.522,13.2828,73
2018,07,31,0349371,-26.8686,152.511,18.8761,81
2018,07,31,0351025,-26.8697,152.514,43.6128,69
2018,07,31,0351025,-26.8716,152.504,15.4514,59
2018,07,31,0351025,-27.0353,151.465,11.8439,78
2018,07,31,0351025,-27.0281,151.463,38.8383,93
2018,07,31,0351025,-26.9785,149.467,19.9908,87
2018,07,31,0351025,-26.3233,152.272,13.0517,75
2018,07,31,0351025,-26.3611,151.897,6.75017,65
2018,07,31,0351025,-26.4407,150.802,16.5609,82
2018,07,31,0351025,-26.4337,150.8,9.61806,50
2018,07,31,0351025,-26.2356,150.733,44.5492,95
2018,07,31,0351025,-25.7339,152.134,9.90012,73
2018,07,31,0351025,-25.7358,152.123,13.8194,79
2018,07,31,0351025,-25.737,152.126,19.0354,83
2018,07,31,0351025,-26.1179,149.596,14.0491,82
2018,07,31,0351025,-25.3501,152.197,15.8011,79
2018,07,31,0351025,-25.352,152.187,20.5359,82
2018,07,31,0351025,-25.6267,148.704,7.51424,72
2018,07,31,0351025,-24.3769,151.869,27.0196,86
2018,07,31,0351025,-24.3784,151.871,15.7974,78
2018,07,31,0351025,-24.3803,151.861,24.274,84
2018,07,31,0351025,-24.0939,149.378,15.0743,58
2018,07,31,0351025,-24.0843,149.393,6.86941,52
2018,07,31,0351025,-24.0857,149.385,14.1931,51
2018,07,31,0351025,-24.087,149.376,14.2256,38
2018,07,31,0351025,-24.0815,149.367,40.2106,85
2018,07,31,0351025,-24.0746,149.366,34.4051,90
2018,07,31,0351025,-24.076,149.357,74.7816,100
2018,07,31,0351025,-24.0774,149.349,48.304,98
2018,07,31,0351025,-24.0664,149.372,7.7921,49
2018,07,31,0351025,-24.0678,149.364,12.1302,71
2018,07,31,0351025,-24.0691,149.356,76.1521,100
2018,07,31,0351025,-24.0705,149.348,56.3614,99
2018,07,31,0351025,-24.0664,149.33,7.66793,43
2018,07,31,0351025,-23.3871,142.153,22.2757,80
2018,07,31,0351025,-23.3884,142.142,47.9418,92
2018,07,31,0351025,-23.3792,142.152,42.3063,90
2018,07,31,0352280,-22.1468,148.958,14.1912,81
2018,07,31,0352280,-22.1399,148.957,44.5656,96
2018,07,31,0352280,-21.2697,148.49,5.06815,47
2018,07,31,0352280,-19.6648,147.306,33.82,94
2018,07,31,0352280,-19.666,147.298,6.65367,68
2018,07,31,0352280,-19.6569,147.312,32.0689,93
2018,07,31,0352280,-19.6581,147.305,7.39738,72
2018,07,31,0352280,-19.4645,146.425,110.971,100
2018,07,31,0352280,-19.4656,146.417,42.7098,97
2018,07,31,0352280,-17.9178,145.539,3.69295,38
2018,07,31,0352280,-17.9189,145.531,7.1087,68
2018,07,31,0352280,-19.1823,132.318,21.2761,72
2018,07,31,0352280,-19.1833,132.305,32.2852,78
2018,07,31,0353534,-16.947,145.569,4.10718,41
2018,07,31,0353534,-16.9404,145.568,6.74373,68
2018,07,31,0353534,-16.7719,145.518,64.0117,94
2018,07,31,0353534,-16.7652,145.517,49.3229,98
